mention_id,song_id,place_raw,place_canonical,language_of_mention,lyric_context,lyric_translation,context_type,verse_number,confidence,notes
cs_s01_e03_t05_m01,cs_s01_e03_t05,Banaras,Banaras,english,as we walk through the narrow by-lanes of Banaras,,journey,1,high,
cs_s02_e02_t02_m01,cs_s02_e02_t02,Makkah,Makkah,english,Why should he go all the way Makkah whose…,,other,5,high,
cs_s02_e02_t05_m01,cs_s02_e02_t05,سندھ,Sindh,native,جس سندھ وچ قدم ٹکایا,He made his home in Sindh,other,5,medium,
cs_s02_e03_t01_m01,cs_s02_e03_t01,lahore,Lahore,roman,aih lahore da munḍa mangda tere dil da gahna,This boy from Lahore asks for the precious gift of your heart,origin,2,high,
cs_s04_e01_t01_m01,cs_s04_e01_t01,Balochistan,Balochistan,english,"rivers and mountains of Balochistan. Through this patriotic anthem, imbued",,other,1,high,
cs_s04_e01_t01_m02,cs_s04_e01_t01,سندھ,Sindh,native,مولئے بے باال سندھ ءِ سرمس,Has already crossed the Mula River and reached Sindh,other,3,medium,
cs_s04_e01_t01_m03,cs_s04_e01_t01,بلوچستان,Balochistan,native,دا تختِ بلوچستان ءَ نا,This is the capital of Balochistan,other,9,medium,
cs_s04_e01_t01_m04,cs_s04_e01_t01,خراسان,Khurasan,native,ہو ک چھی، خراسان واہ واہ واہ,Kachhi and Khurasan - oh excellent!!,other,10,medium,
cs_s04_e01_t01_m05,cs_s04_e01_t01,سیہون,Sehwan,native,سندھڑی دا، سیہون دا سخی شہباز قلندر,"Of Sindh, of Sehwan, Gracious Shahbaz Qalandar",other,16,medium,
cs_s04_e01_t01_m06,cs_s04_e01_t01,Sindh,Sindh,english,"Of Sindh, of Sehwan, Gracious Shahbaz Qalandar",,other,16,high,
cs_s04_e01_t01_m07,cs_s04_e01_t01,سیہون,Sehwan,native,سندھڑی دا، سیہون دا س خی شہباز قلندر,"Of Sindh, of Sehwan, Gracious Shahbaz Qalandar",other,18,medium,
cs_s04_e01_t01_m08,cs_s04_e01_t01,سندھ,Sindh,native,ہند سندھ پیرا تیری نوبت واجے,"In both Hind and Sindh, trumpets and drums sound in your honour",other,18,medium,
cs_s04_e02_t03_m01,cs_s04_e02_t03,Chenab,Chenab,english,Sohni drowned in the Chenab river,,other,6,high,
cs_s04_e04_t01_m01,cs_s04_e04_t01,Sindh,Sindh,english,"May the land of Sindh remain prosperous, Latif",,other,6,high,
cs_s04_e04_t03_m01,cs_s04_e04_t03,بلوچستان,Balochistan,native,ننا زیبا بلوچستان,Our beautiful Balochistan,other,12,medium,
cs_s04_e04_t03_m02,cs_s04_e04_t03,بلوچستان,Balochistan,native,ننا زیبا بلوچستان,Our beautiful Balochistan,other,13,medium,
cs_s05_e01_t03_m01,cs_s05_e01_t03,Lahore,Lahore,english,"Tell me, in the city of Lahore",,other,1,high,
