measure,value,unit,comparison,note,source
Troy to Ithaca (straight line),565,nautical miles,the crow-flies distance,"~650 statute miles / ~1,046 km. Doubled once you dip under the Peloponnese before the Corinth Canal (1893).",Harry Mount's Odyssey (BOAT International)
Direct trip under sail,6,days,"lower bound, good conditions","At ~5 knots and up to ~100 nm/day, Troy to Ithaca is 6 days to two weeks.",Bronze Age galley estimate
Modern superyacht,7,days,same route today,"A modern superyacht does the direct trip in about a week.",Harry Mount's Odyssey
Modern cruise ship,1,days,same route today,"A cruise ship covers it in under 24 hours.",Harry Mount's Odyssey
Hal Roth re-sail,2,years,"presumed route, 35-ft sloop","Logged 'several thousand sea miles,' wintering in Malta — vs Odysseus's ten years.",We Followed Odysseus
Severin re-sail,4,months,"replica galley, single season","3-4 months Troy to Ithaca in a 54-ft replica Bronze Age galley, Argo.",The Ulysses Voyage
Galley speed (average),5,knots,cruising,"~4-6 knots average for a ~55-ft black-pitched war-galley with a single square sail.",Bronze Age galley estimate
Galley run (best day),100,nautical miles,downwind,"Up to ~100 nm/day running before the wind.",Bronze Age galley estimate
Nine-day blow (traditional reading),810,nautical miles,"sail spread, 70-100 nm/day","A galley driven under sail = 630-900 miles in 9 days, hence a Tunisia landfall.",Severin (traditional reading)
Nine-day blow (Severin reading),270,nautical miles,"crew fighting the wind, ~30 nm/day","A crew holding position drifts only ~30 miles/day, so 9 days = ~270 miles, landing in Libya.",The Ulysses Voyage
