seq,stop,episode,book,region,duration,duration_days,ships_after,men_after,id_status,traditional_place,lat,lon,notes
0,Troy,Departure from the sack of Troy,—,"Hisarlik, Turkey",departure,0,12,720,anchor,"Hisarlik (Troy VI/VIIa), Turkey",39.9575,26.2389,"Undisputed anchor. Leaves with 12 ships and ~720 men (reconstructed at ~60/ship)."
1,Cicones,Raid on Ismaros; Maron's wine won,9,"Thrace, Greece",a few days,3,12,648,anchor,"Maroneia, Thrace",40.9600,25.3700,"Strong, essentially undisputed ID. Loses 6 men per ship = 72. Cyclopean-walled acropolis on Agios Georgios Hill."
2,Cape Malea,The north wind blows him past Cythera,9,"SE Peloponnese, Greece",the pivot,0,12,648,real-navigation,"Cape Malea / Cythera",36.4300,23.1900,"The geographic hinge. Stanford: last clearly identifiable place before 'Wonderland.' A 9-day drift begins here."
3,Lotus-Eaters,The narcotic fruit that erases home,9,"contested — N. Africa",brief (after 9-day drift),11,12,648,contested,"Djerba (Meninx), Tunisia",33.8000,10.9000,"Traditional: Djerba (Polybius, Strabo). Severin: Cyrenaica, Libya. 9-day drift + landfall."
4,Cyclops,Blinding of Polyphemus; Poseidon's curse,9,"contested — Sicily",2-3 days,3,12,642,contested,"Sicily, near Mt Etna (Aci Trezza)",37.5600,15.1600,"Traditional: SE Sicily near Etna. Bradford: Favignana. Severin: Crete. Loses 6 men. Curse drives the rest of the poem."
5,Aeolus,The ox-hide bag of winds,10,"contested — Aeolian Is.",one month,30,12,642,contested,"Lipari (Aeolian Islands), Italy",38.4700,14.9500,"Traditional: Lipari. Severin: Gramvousa, Crete (ancient Korykos = 'leather bag'). Bag opened; blown back from within sight of Ithaca."
6,Laestrygonians,Cannibal giants destroy the fleet,10,"contested — Sicily / Mani",brief and catastrophic,1,48,1,contested,"Sicily (Thucydides) / Mezapos, Mani (Severin)",36.3400,22.3800,"Single greatest loss: 11 of 12 ships destroyed with all crews. Only Odysseus's moored ship escapes. Coords = Severin's Mezapos bay."
7,Circe,Men turned to swine; a year as her lover,10,"contested — Lazio",one year,365,1,46,traditional,"Monte Circeo (Cape Circeo), Lazio",41.2400,13.0900,"DETENTION. Traditional: Monte Circeo (541 m promontory). Severin: Paxos. Directs him to the Underworld. Men count reconstructed."
8,Underworld,The Nekyia — Tiresias's prophecy,11,"contested — Thesprotia",a day's visit,1,1,46,archaeological-contested,"Necromanteion, Acheron R., Thesprotia",39.2400,20.5300,"Necromanteion excavated (Dakaris) but ruins date no earlier than late 4th c. BCE; Homeric link now contested. Rivals: Cumae/Avernus (Berard); Atlantic (Strabo)."
9,Sirens,Bound to the mast to hear the song,12,"contested — Amalfi Coast",brief passage,1,1,46,traditional,"Li Galli / Sirenuse, off Sorrento",40.5800,14.4300,"Traditional: Li Galli, named for the Sirens since antiquity (Strabo). Severin: Antipaxos near Lefkada."
10,Scylla & Charybdis,Six men for the whole ship,12,"contested — Str. of Messina",brief and costly,1,1,40,traditional,"Strait of Messina",38.2500,15.6300,"Traditional: Strait of Messina (Polybius, earliest source). Severin: Lefkada channel. Loses 6 men (one per head)."
11,Thrinacia,The cattle of the Sun; the ship destroyed,12,"contested — Sicily",over a month,35,0,1,contested,"Sicily ('Trinakria')",37.5000,14.0000,"Crew slaughter Helios's immortal cattle; Zeus destroys the ship; ALL crew die. Only Odysseus survives. Some link to Malta; Severin: Meganisi."
12,Calypso,Seven years on Ogygia,"1,5","contested — Malta / Atlantic",seven years,2555,0,1,traditional,"Gozo (Calypso's Cave, Ramla Bay)",36.0600,14.2800,"DETENTION — the single largest block of the decade (~70%). Traditional: Gozo, Malta (Bradford). Strabo/Plutarch: far Atlantic. Berard: near Gibraltar."
13,Phaeacians,Scheria; Nausicaa; the whole tale told,"6-13","strong ID — Corfu",a few days + 17-day sail,20,0,1,traditional,"Corcyra / modern Corfu",39.6200,19.9200,"Strong ID since Thucydides 1.25.4. Odysseus sails 17 days by the stars, is wrecked, washes ashore. Narrates the entire flashback here. Obregon outlier: Cyprus."
14,Ithaca,Home; the suitors killed,"13-24","anchor (contested) — Ionian Is.",the climax,1,0,1,anchor-contested,"Modern Ithaki",38.4200,20.7100,"Home after 20 years. Mycenaean finds support Ithaki. Bittlestone: Paliki, Kefalonia. Diggle/Underhill (2026): Homer never calls Ithaca an island."
