"song_id","native_text","roman_text","english_text","stanza_count","stanza_languages","confidence","source","notes"
"cs_s02_e01_t01","پڑھ پڑھ علم تے فاضل ہویو
وے کدے اپنے آپ نوں پڑھیا نائیں
بھجّ بھجّ وڑنا ایں مندر مسیتی
وے کدے من اپنے وچ وڑیا نائیں

لڑنا روز شیطان دے نال
وے کد ے نفس اپنے نال لڑیا نائیں
بلھے شاہ آسمانی اڈدیاں پھڑنا ایں
وے جیہڑا گھر بیٹھا اوہنوں پھڑیا نائیں

بس کریں او یار
علموں بس کریں او یار
اکّو الف تیرے درکار
حق

هللا
سائیاں

نی میں جانا جوگی دے نال

جو نہ جانے حق کی طاقت
ربّ نہ دیوے اس کو ہمت
ہم من کے دریا میں ڈوبے
کیسی نیّا ، کیا منجدھار

حق
بس کریں او یار

علموں بس کریں او یار","paṛh paṛh ‘ilm te faazil hoyo
ve kade apne aap noon paṛhya naaeen
bhaj bhaj waṛna en mandar maseeti
ve kade man apne wich waṛiya naaeen

laṛna roz shaitaan de naal
ve kade nafs apne naal laṛiya naaeen
bullhe shaah aasmaani uḍdiyaan phaṛna en
ve jehṛa ghar baiṭha ohnoon phaṛiya naaeen

bas kareen o yaar
‘ilmoon bas kareen o yaar
ikko alaf tere darkaar
haq

Allaah
saaiyaan

ni main jaana jogi de naal

jo nah jaane haq ki taaqat
rabb nah dewe us ko himmat
ham man ke darya men ḍoobe
kaisi naiyya kya manjdhaar

haq
bas kareen o yaar

‘ilmoon bas kareen o yaar","You study hard to become a learned scholar
Yet you never bother to learn about your own soul
You are quick to enter the temple and mosque
Yet you never bother to enter your own heart

You fight with Satan everyday
Yet you never bother to fight your own cravings
Bulleh Shah, you are obsessed with attaining what’s far from your reach
Yet you never bother to reach for the treasure that’s sitting right at home

Cease this pursuit, my friend
Cease this pursuit of overt knowledge
One letter Alif is all you need for the key to true knowledge
Truth!

Allah
Master

I want to go with the jogi

He who does not recognise the power of Truth
The Lord does not grant him strength and courage
We drowned in the river of the soul
What boat, and what swirling depths?

Truth!
Cease this pursuit, my friend

Cease this pursuit of overt knowledge","8","Punjabi|Punjabi|Urdu|Punjabi|Punjabi|Urdu|Punjabi|Punjabi","medium","Zahra Sabri compilation (Coke_Studio_Pakistan_Seasons_2_10_and_12.pdf)",""
"cs_s02_e01_t02","ساجن

ّ ے اج لتّھا نئیوں اکھیاں دا چاء
تو تھوڑی دیر ہور ٹھ ی ر جا
تیرا تکنا اے اکھیاں نے راہ
تو تھوڑی دیر ہور ٹھ ی ر جا

رات نہ ایہہ لنگھے ماہیا
ن  پا ویں مک جا ن واں میں
ن  نا ویں تیرے الئیاں اک اک سا ہ واں میں
ڈھوال اک وار ی میری من جا
تو تھوڑی دیر ہور ٹھ ی ر جا

ّ ے اج لتّھا نئیوں اکھیاں دا چاء
تو تھوڑی دیر ہور ٹھ ی ر جا
ّ ے اج لتّھا نئیوں","saajan

ajje lattha naeeon akkhiyaan da cha
tu thoṛi der hor ṭhair ja
tera takna e akkhiyaan ne raah
tu thoṛi der hor ṭhair ja

raat nah eh langhe maahiya
paanwen muk jaawaan main
naanwen tere laaiyaan ik ik saahwaan main
ḍhola ik waari meri man ja
tu thoṛi der hor ṭhair ja

ajje lattha naeeon akkhiyaan da cha
tu thoṛi der hor ṭhair ja
ajje lattha naeeon","Beloved

My eyes’ thirst has not ebbed yet
Stay, let me gaze at you a little while more
My eyes will search for you endlessly
Stay, let me gaze at you a little while more

Beloved, let this night never end
Even if my life ends
I’ve dedicated each breath to you
Dearest, listen to me just this once
Stay, let me gaze at you a little while more

My eyes’ thirst has not ebbed yet
Stay, let me gaze at you a little while more
…has not ebbed yet","4","Punjabi|Punjabi|Punjabi|Punjabi","high","Zahra Sabri compilation (Coke_Studio_Pakistan_Seasons_2_10_and_12.pdf)",""
"cs_s02_e01_t03","سو جانے دو
رک جانے دو
لہروں میں کہیں ڈوب جانے دو

مجھ سے کہے اک جلپری
ڈوب جانے دو جل میں کہیں

سو جانے دو
رک جانے دو
لہروں میں کہیں ڈوب جانے دو
شور نہ کرو یارو
آنکھ ہے لگی
بہل جانے دو یارو

جل میں کہیں
جل میں کہیں

او رے پیا
پیا
کہتا جیا
تو ہے کہاں
میں ہوں یہاں

جل میں کہیں
جل میں کہیں

او رے پیا
رے غم دیا

پیا رے پیا رے
پیا رے پیا رے

پانویں جان نہ جان
مینوں تیرے تے مان
کر لئی پچھان
توں ایں جند تے جان

دل مجبور میرا ک یہہ قصور
رہنا نئیں میں دور میرے حضور
سہنی نئیں جدائی ایہو میری کمائی
جانے خدا ئی اکھہ تیرے نال الئی

میرے سوہنیا
میرے مہرماں
میرے ہانیا میرے دل جانیا

توں میرا دل
توں میری جان
جانِ جان
مہرماں
سامنے توں بیٹھا رہویں
ہر ویلے میں تکدی رہواں

او رے پیا
کہتا جیا
تو ہے کہاں
میں ہوں یہاں
جل میں کہیں
جل میں کہیں","so jaane do
ruk jaane do
lahron men kaheen ḍoob jaane do

mujh se kahe ik jalpari
ḍoob jaane do jal me kaheen

so jaane do
ruk jaane do
lahron men kaheen ḍoob jaane do
shor nah karo yaaro
aankh hai lagi
bahal jaane do yaaro

jal men kaheen
jal men kaheen

o re piya
piya
kahta jiya
tu hai kahaan
main hoon yahaan

jal men kaheen
jal men kaheen

o re piya
re gham diya

piya re piya re
piya re piya re

paanwen jaan na jaan
mainoon tere te maan
kar lai pachhaan
toon en jind te jaan

dil majboor mera keeh qasoor
rahna naeen main door mere huzoor
sahni naeen judaayi ehu meri kamaayi
jaane khudaai akkh tere naal laayi

mere sohniya
mere mehramaan
mere haaniya mere dil jaaniya

toon mera dil
toon meri jaan
jaan-i jaan
mehramaan
saamane toon baiṭha rahwen
har wele main takdi rahwaan

o re piya
kahta jiya
tu hai kahaan
main hoon yahaan
jal men kaheen
jal men kaheen","Let me sleep
Let me stop
Let me drown somewhere in the waves

A mermaid says to me
Let me drown somewhere in the sea

Let me sleep
Let me stop
Let me drown somewhere in the waves
Be quiet, friends
I’ve fallen asleep
Let me beguile the time, friends

Somewhere in the sea
Somewhere in the sea

My beloved
Beloved
My heart asks
Where are you?
I am right here

Somewhere in the sea
Somewhere in the sea

My beloved
You gave me sorrow

Beloved, my beloved
Beloved, my beloved

Whether you see it or not
I have faith in you
I have recognised…
That you’re my life and soul

How can I be blamed? I am helpless before my heart
And I just can’t stay away from you
I don’t want to suffer separation, all I want is you
All the world knows I have fallen in love with you

My darling
My beloved
My soulmate, my sweetheart

You are my heart
You are my soul
Dearer than life
Beloved
I wish you’d remain sitting before me
So I can keep gazing at you

My beloved
My heart asks
Where are you?
I am right here
Somewhere in the sea
Somewhere in the sea","13","Urdu|Urdu|Urdu|Urdu|Urdu|Urdu|Urdu|Urdu|Punjabi|Urdu|Urdu|Punjabi|Urdu","medium","Zahra Sabri compilation (Coke_Studio_Pakistan_Seasons_2_10_and_12.pdf)",""
"cs_s02_e01_t04","مورا سئیاں موسے بولے نہ
میں الکھ جتن کر ہاری
الکھ جتن کر ہار رہی
مورا سئیاں موسے بولے نہ

ساون بیتو جائے پ ی ہروا
من میرا گھبرائے
ایسو گئے پردیس پیا تم
چین ہمیں نہیں آئے

مورا سئیاں موسے بولے نہ

پیار تمہیں کتنا کرتے ہیں
تم یہ سمجھ نہیں پاؤ گے
جب ہم نہ ہونگے تو پ ی ہروا
و بول کیا تب آؤگے","mora saiyyaan mose bole nah
main laakh jatan kar haari
laakh jatan kar haar rahi
mora saiyyaan mose bole nah

saawan beeto jaaye peeharwa
man mera ghabraaye
aiso gaye pardes piya tum
chain hamen naheen aaye

mora saiyyaan mose bole nah

pyaar tumhen kitna karte hain
tum yih samajh naheen paao ge
jab ham nah honge to peeharwa
bolo kya tab aao ge","My beloved refuses to speak to me
I have tried so hard and met defeat
Tried so hard and met defeat
My beloved refuses to speak to me

The monsoon season is passing, beloved
And my heart grows anxious
You’ve been gone from home since so long now, husband
My heart won’t get any peace until I see you

My beloved refuses to speak to me

The depth of my great love for you
You will never be able to understand
Beloved, when I remain no longer
Will you return only then?","4","Urdu|Urdu|Braj|Urdu","medium","Zahra Sabri compilation (Coke_Studio_Pakistan_Seasons_2_10_and_12.pdf)",""
"cs_s02_e01_t05","پیمانہ بدہ کہ خمار استم
من عاشقِ چشمِ مستِ یار استم
بدہ بدہ کہ خمار استم
پیمانہ بدہ کہ خمار استم

چشمت کہ بہ آہوئے ختن می ماند
رویت بہ گالب ہائے چمن می ماند
گل را بکنید ورق ورق ب وئے کنید
با اللہ عذاری بوطن میآید

پیمانہ بدہ کہ خمار استم

از آمدنت اگر خبر می داشتم

پیشِ قدمت کوچہ را گل می کاشتم
گل می کاشتم ، گلِ گالب می کاشتم
خاکِ قدمت بدیدہ می ور داشتم

پیمانہ بدہ
پیمانہ بدہ کہ خمار استم
ِمن عاشق چشمِ مستِ یار استم
بدہ بدہ
وائے وائے
بدہ بدہ
وائے وائے وائے
بدہ بدہ کہ خمار استم
پیمانہ بدہ کہ خمار استم","paimaanah bideh kih khumaar astam
man ‘aashiq-i chashm-i mast-i yaar astam
bidih bideh kih khumaar astam
paimaanah bideh kih khumaar astam

chashmat kih ba aahu-i khutan mi-maanad
rooyat ba gulaabhaa-i chaman mi-maanad
gul ra bukuneed waraq waraq booye kuneed
ba laala-‘izaari bi-watan mi-aayaad

paimaanah bideh kih khumaar astam

az aamadanat agar khabar mi-daashtam

If I had had news of your coming
pesh-i qadamat kuchah ra gul mi-kaashtam
gul mi-kaashtam gul-i gulaab mi-kaashtam
khaak-i qadamat ba-deedah mi-war-daashtam

paimaanah bideh
paimaanah bideh kih khumaar astam
man ‘aashiq-i chashm-i mast-i yaar astam
bidih bideh
waaye waaye
bidih bideh
waaye waaye waaye
bidih bideh kih khumaar astam
paimaanah bideh kih khumaar astam","Pass me the wine cup for I am suffering the effects of intoxication
I am enslaved by my beloved’s intoxicating eyes
Please pass me the wine cup for I am suffering the effects of intoxication
Pass me the wine cup for I am suffering the effects of intoxication

Your eyes have the beauty of the desert deer of Tartary
Your face has the beauty of the roses of the garden
Breathe in the scent of each and every distinct petal of the flower
The scent that comes home with my tulip-faced beloved

Pass me the wine cup for I am suffering the effects of intoxication



I would have planted flowers in your path
I would have planted flowers; I would have planted the rose flower
I would have adorned my eyelashes with the dust beneath your feet

Pass me the wine cup
Pass me the wine cup for I am suffering the effects of intoxication
I am enslaved by my beloved’s intoxicating eyes
Please pass me the wine cup
Alas!
Please pass me the wine cup
Oh alas!
Please pass me the wine cup for I am suffering the effects of intoxication
Pass me the wine cup for I am suffering the effects of intoxication","6","Persian|Persian|Persian|Persian|Persian|Persian","high","Zahra Sabri compilation (Coke_Studio_Pakistan_Seasons_2_10_and_12.pdf)",""
"cs_s02_e02_t01","آنکھوں کے ساگر
ہونٹوں کے ساگر
لے ڈوبے ہمیں
لے ڈوبے ہمیں

پلکوں کو ایسے
پلکوں سے چھو لیں
کہ جب دل ملیں
تو منزل ملے

تم بھی نہ بھولو، ہم بھی نہ بھولیں
کہ جب دل ملیں تو منزل ملے

تڑپنا میرا
ہنسنا تیرا
نیندیں میری
سپنا تیرا

آنکھوں کے ساگر
ہونٹوں کے ساگر
لے ڈوبے ہمیں
لے ڈوبے ہمیں

یہ جیون میرا
یہ خوشیاں سبھی
تیرے نام کی
تیرے نام کی



آنکھوں کے ساگر
ہونٹوں کے ساگر","aankhon ke saagar
honṭon ke saagar
le ḍoobe hamen
le ḍoobe hamen

palkon ko aise
palkon se chhu len
ke jab dil milen
to manzil mile

tum bhi nah bhoolo ham bhi nah bhoolen
kih jab dil milen to manzil mile

taṛapna mera
hansna tera
neenden meri
sapna tera

aankhon ke saagar
honṭon ke saagar
le ḍoobe hamen
le ḍoobe hamen

yih jeewan mera
yih khushiyaan sabhi
tere naam ki
tere naam ki

Is tied up with you

aankhon ke saagar
honṭon ke saagar","The ocean of your eyes
The ocean of your lips
Lures us into its intoxicating depths
Drowns us in its intoxicating depths

Let your eyelashes
Touch mine so gently
That when hearts meet
Desire is achieved

May it not be forgotten by either of us
That when hearts meet, desire is achieved

My wild trembling
And your shimmering laughter
My dream-filled nights
And the vision of you

The ocean of your eyes
The ocean of your lips
Lures us into its intoxicating depths
Drowns us in its intoxicating depths

This life of mine
My each source of joy
Is tied up with you



The ocean of your eyes
The ocean of your lips","8","Urdu|Urdu|Urdu|Urdu|Urdu|Urdu|Urdu|Urdu","high","Zahra Sabri compilation (Coke_Studio_Pakistan_Seasons_2_10_and_12.pdf)",""
"cs_s02_e02_t02","رانجھا رانجھا کردی نی میں آپے رانجھا ہوئی
رانجھا کہو سہیلیو
مینوں ہیر نہ آکھو کوئی

کیہندے نے کہ لمیاں نے راہواں عشق دیاں
کیہندے لوکی لمیاں نے راہواں عشق دیاں
کی دساں کی بات سناواں عشق دیاں
اندر آ
پھیرا پا
آ وس جا سائیاں

اندر توں ہی باہر توں ہی
روم روم وچ توں
توں ہی تانا توں ہی بانا
سب کچھ میرا توں
کہے حسین فقیر نمانا
میں ناہیں بس تو ں
کی دساں کی بات سناواں عشق دیاں

کنجڑی بنیا ذات نہ گھٹدی
نچ کے یار مناون دے
لوگ عشق نوں مل گندے
مینوں نچ کے یار مناون دے

اوہدا رب ن ئی ں رسدا
اوہدا رب ن ئی ں رسدا سونہہ رب دی
ج ہ نوں یار مناون چج ہووے
اوہہ وا ٹ مکّے دی کیوں پاوے
جہدا یار نوں تکیا ں حج ہووے

کی دساں کی بات سناواں عشق دیاں
اندر آ
پھیرا پا
اندر آ سائیاں","raanjha raanjha kardi ni main aape raanjha hoyi
raanjha kaho saheliyo
mainoon heer nah aakho koyi

kaihnde ne kih lamiyaan ne raahwaan ‘ishq diyaan
kaihnde loki lamiyaan ne raahwaan ‘ishq diyaan
ki dassaan ki baat sunaawaan ‘ishq diyaan
andar aa
phera pa
aa was ja saaiyaan

andar toon hi baahar toon hi
rom rom wich toon
toon hi taana toon hi baana
sab kuchh mera toon
kahe husain faqeer nimaana
main naaheen bas toon
ki dassaan ki baat sunaawaan ‘ishq diyaan

kanjṛi banya zaat nah ghaṭdi
nach ke yaar manaawan de
log ‘ishaq noon mull ginde
mainoon nach ke yaar manaawan de

ohda rabb naeen russda
ohda rabb naeen russda saunh rabb di
jihnoon yaar manaawan chajj howe
oh waaṭ makke di kyoon paawe
jihda yaar noon takyaan hajj howe

ki dassaan ki baat sunaawaan ‘ishq diyaan
andar aa
phera pa
andar aa saaiyaan","Ranjha filled my thoughts and heart so completely that I myself became Ranjha
Call me ‘Ranjha’ now, my friends
Let no one call me ‘Heer’ anymore

They say that the path of love is hard to travel
People say that the path of love is hard to travel
How should I describe love? What should I say about it?
Enter my being
Come this way
And fill my heart, Master

You are in my heart, You are all around me
You are in every pore of my being
You are the warp and woof of the texture of my being
My entire being is You
Shah Husain, the miserable beggar, says
There is no me, there is only You
How should I describe love? What should I say about it?

Become a dancing woman doesn’t taint my honour and noble lineage
Let me dance to cajole my beloved
People use riches as a measure of love
Let me dance to cajole my beloved

His lord does not get vexed with him who…
I swear to God his Lord does not get vexed with him who…
Knows how to cajole his beloved
Why should he go all the way Makkah whose…
Pilgrimage is the sight of his beloved?

How should I describe love? What should I say about it?
Enter my being
Come this way
Enter my being, master","6","Punjabi|Punjabi|Punjabi|Punjabi|Punjabi|Punjabi","high","Zahra Sabri compilation (Coke_Studio_Pakistan_Seasons_2_10_and_12.pdf)",""
"cs_s02_e02_t03","جانے بھی دو
روک نہ مجھے یہاں
جا رہا ہوں میں
چل وہاں میرے یار

مجھے جانے دو وہاں
مجھے ساتھی رہنے دو

کیا کریں وہاں چھوڑ کے یہ دنیا
کیا کروں یہاں بن تیرے میرے پاس
مجھے جانے دو وہاں
مجھے ساتھی رہنے دو

چلن گر میری گناہ
مجھے باغی رہنے دو

تھوڑا دل یہ دھڑکے
تھوڑا تھوڑا بھڑکے
پھر بھی دل میں ہے خوشی

رہا کر کے یہ من
فدا کر کے یہ تن
زندگی مل گئی

مجھے رہنے دو یہاں
میرے ساتھ ی آ ملو
چلن یہ میری رضا
یہاں باغی رہنے دو

جانے بھی دو
جانے بھی دو","jaane bhi do
rok nah mujhe yahaan
ja raha hoon main
chal wahaan mere yaar

mujhe jaane do wahaan
mujhe saathi rahne do

kya karen wahaan chhoṛ ke yih dunya
kya karoon yahaan bin tere mere paas
mujhe jaane do wahaan
mujhe saathi rahne do

chalan gar meri gunaah
mujhe baaghi rahne do

thoṛa dil yih dhaṛke
thoṛa thoṛa bhaṛke
phir bhi dil men hai khushi

riha kar ke yih man
fida kar ke yih tan
zindagi mil gayi

mujhe rahne do yahaan
mere saathi aa milo
chalan yih meri raza
yahaan baaghi rahne do

jaane bhi do
jaane bhi do","Please let me go
Please don’t stop me
I am on my way
Come with me to that place, my dear one

Let me go to that place
Let me remain your companion

What should we do there if we leave this world?
What should I do here without you next to me?
Let me go to that place
Let me remain your companion

If the path I’m taking is a rebellious sinner’s path
Then let me remain a rebel

Let this heart throb a little faster
Let it blaze just a little brighter
Even so, the heart is filled with happiness

Having freed this heart
Having sacrificed this self
I gained the true meaning of life

Please let me remain here
My companion, come unite with me
I’ve chosen this path from my own free will
Let me remain a rebel right here

Please let me go
Please let me go","8","Urdu|Urdu|Urdu|Urdu|Urdu|Urdu|Urdu|Urdu","high","Zahra Sabri compilation (Coke_Studio_Pakistan_Seasons_2_10_and_12.pdf)",""
"cs_s02_e02_t04","دو پل کا یہ جیون ہے
کیسے یہاں جینا سیکھوں
دھند ھ ال سا یہ منظر ہے
سہمی سی یہ خاموشی ہے
یہ مری زندگی بس اک خواب ہے
یہ مری بندگی ہاں اک راز ہے

کیسے بتاؤں
کس کو سناؤں
حال اپنے دل کا
کیسے بتاؤں
ان راستوں پہ آنے والے سب کرتے ہیں کیوں کنار ہ

ان آہٹوں میں بسنے والوں سے پوچھے کون ہمارا
ہم جئے جا رہے ہیں
غم پئے جا رہے ہیں

یا علی

ِمَنْ کُنْتُ مَوْ الَ ہُ (فَھٰ ذَا عَل ی مَوْ الَ ہُ)

ٹنگے رہندے کِلّیاں دے نال پراندے
ہ  جن اں دے راتی یار وچھڑے

زاہد نے میرا حاص لِ ایماں نہیں دیکھا
رخ پر تیری زلفوں کو پریشاں نہیں دیکھا","do pal ka yih jeewan hai
kaise yahaan jeena seekhoon
dhundhla sa yih manzar hai
sahmi si yih khaamoshi hai
yih miri zindagi bas ik khaab hai
yih miri bandagi haan ik raaz hai

kaise bataaoon
kis ko sunaaoon
haal apne dil ka
kaise bataaoon
in raaston pah aane waale sab karte hain kyoon kinaarah

in aahaṭon men basne waalon se poochhe kaun hamaara
ham jiye ja rahe hain
gham piye ja rahe hain

ya ‘ali

man kunto maulaah (fa-haaza ‘ali-un-maulaah)

ṭange rahnde killyaan de naal paraande
jinhaan de raati yaar wichhṛe

zaahid ne mera haasil-i eemaan naheen dekha
rukh par teri zulfon ko pareshaan naheen dekha","Two brief moments is all this life amounts to
How do I learn to live here?
This scene before me is hazy
This silence is subdued
This life of mine is just a dream
This humble existence of mine is a secret that can’t be told

How should I describe it?
To whom should I describe it?
The state of my heart
How should I describe it?
Why do people on these paths draw away from me?

Ask those who live in the sound of these footsteps, “Who is my own?”
We carry on living
We carry on grieving

O Ali

Whoever accepts me as master, (Ali is his master, too)

As forlorn as coloured yarn hanging limply from pegs
Are those whose nights are spent in separation from their beloved

The proud ascetic has not witnessed the sum of my faith and scruples
He has not witnessed your beautiful locks spilling over your face","7","Urdu|Urdu|Urdu|Urdu|Urdu|Punjabi|Urdu","medium","Zahra Sabri compilation (Coke_Studio_Pakistan_Seasons_2_10_and_12.pdf)",""
"cs_s02_e02_t05","جیویں سائیاں

میں صدقے پاک قرآن توں
جند واراں نبی دی شان توں
جنہاں حق دا راہ وکھایا اے
انہاں جھوٹ ھ منع فرمایا اے
سائیں ظہور دیوانہ کیہندا اے
جیہڑا نام هللا دا لیندا اے

هللا هللا هللا تومبا کیہندا اے
هللا هللا هللا تومبا کیہندا اے
حق
هللا ہو
هللا ہو

جیویں لیا  و

تومبا شاہ لطیف وجایا
جس سندھ وچ قدم ٹکایا
نعرہ پاک علی دا الیا
پڑھ کلمہ تے آکھہ سنایا
سائیں ظہور دیوانہ کیہندا اے
جیہڑا نام هللا دا لیندا اے

الله هللا هللا حق
هللا هللا هللا تومبا کیہندا اے
هللا ہو

جیویں سائیاں

تومبا بل ہ ے شاہ وجایا
بن کنجڑی تے بھیس و ایا  ٹ
جنّے ن چّ کے یار منایا
ا ڈیر وچ قصور دے الیا
سائیں ظہور دیوانہ کیہندا اے
جیہڑا نام هللا دا لیندا اے

هللا هللا هللا تومبا کیہندا اے
هللا هللا هللا تومبا کیہندا اے
هللا ہو
هللا ہو جیویں لیا  و

تومبا پاک قلندر وار ی
جتھے جھکدی خلقت ساری
گھ ٹّی جاندی دکھ بیماری
سائیں ظہور دیوانہ کیہندا اے
جیہڑا نام قلندر دا لیندا اے

هللا هللا هللا تومبا کیہندا اے
هللا ہو","jeewen saaiyaan

main sadqe paak qur’aan ton
jind waaraan nabi di shaan ton
jinhaan haq da raah wikhaaya e
unhaan jhooṭh mana‘ farmaaya e
saaeen zaoor deewaanah kaihnda e
jehṛa naam Allaah da lainda e

Allaah Allaah Allaah toomba kaihnda e
Allaah Allaah Allaah toomba kaihnda e
haq
Allaah hu
Allaah hu

jeewen walliya

toomba shaah lateef wajaaya
jis sindh wich qadam ṭikaaya
naara paak ‘ali da laaya
paṛh kalmah te aakh sunaaya
saaeen zaoor deewaanah kaihnda e
jehṛa naam Allaah da lainda e

Allaah Allaah Allaah Allaah - haq
Allaah Allaah Allaah toomba kaihnda e
Allaah hu

jeewen saaiyaan

toomba bullhe shaah wajaaya
ban kanjṛi te bhes waṭaaya
jinne nacch ke yaar manaaya
ḍera wich kasoor de laaya
saaeen zaoor deewaanah kaihnda e
jehṛa naam Allaah da lainda e

Allaah Allaah Allaah toomba kaihnda e
Allaah Allaah Allaah toomba kaihnda e
Allaah hu
jeewen walliya

toomba paak qalandar waari
jiṭthe jhukdi khalqat saari
ghaṭi jaandi dukh beemaari
saaeen zaoor deewaanah kaihnda e
jehṛa naam qalandar da lainda e

Allaah Allaah Allaah toomba kaihnda e
Allaah hu","Long live my master!

I offer up my life for the Holy Qur’an
I offer up my life for the glory of the Prophet
The one who has shown us the path to Truth
Has forbidden us to tell lies
The crazy lover Saieen Zahoor says
The one who calls out the name of God

The strains of my lute chant the name of God
The strains of my lute chant the name of God
Truth!
God is
God is

May the spiritual master live!

Shah Latif played the lute
He made his home in Sindh
He raised the cry of the pure ‘Ali
He came and took the oath of faith
The crazy lover Saieen Zahoor says
The one who calls out the name of God

God is, God is, God is – Truth!
The strains of my lute chant the name of God
God is

Long live my master!

Bulleh Shah played the lute
He took on the guise of a dancing woman
And who danced to cajole the beloved
He made Kasur his dwelling place
The crazy lover Saieen Zahoor says
The one who calls out the name of God

The strains of my lute chant the name of God
The strains of my lute chant the name of God
God is
May the spiritual master live!

The lute devotes its life to the great qalandar
The place where all creation bows down
And where illness and grief disappears
The crazy lover Saieen Zahoor says
The one who calls out the name of the qalandar

The strains of my lute chant the name of God
God is","11","Punjabi|Punjabi|Punjabi|Punjabi|Punjabi|Punjabi|Punjabi|Punjabi|Punjabi|Punjabi|Punjabi","high","Zahra Sabri compilation (Coke_Studio_Pakistan_Seasons_2_10_and_12.pdf)",""
